lon,lat,ruta
-70.3982,-33.37023,1
-70.39799,-33.37011,1
-70.39787,-33.36999,1
-70.39814,-33.36972,1
-70.39815,-33.36971,1
-70.39817,-33.3697,1
-70.39819,-33.36969,1
-70.39823,-33.36969,1
-70.39829,-33.36971,1
-70.39835,-33.36974,1
-70.39837,-33.36975,1
-70.39843,-33.3698,1
-70.39848,-33.36984,1
-70.39849,-33.36987,1
-70.3985,-33.36992,1
-70.39849,-33.36996,1
-70.39849,-33.36997,1
-70.39849,-33.36998,1
-70.39849,-33.36999,1
-70.3985,-33.36999,1
-70.39851,-33.37,1
-70.39855,-33.37,1
-70.39858,-33.36999,1
-70.39863,-33.36999,1
-70.39861,-33.36995,1
-70.39858,-33.36984,1
-70.39857,-33.36978,1
-70.39856,-33.36973,1
-70.39858,-33.36967,1
-70.39844,-33.36953,1
-70.3984,-33.36948,1
-70.39831,-33.36939,1
-70.3983,-33.36937,1
-70.39805,-33.36911,1
-70.39802,-33.36907,1
-70.39793,-33.36896,1
-70.39783,-33.36883,1
-70.39779,-33.36879,1
-70.39772,-33.36871,1
-70.39764,-33.36862,1
-70.39748,-33.36843,1
-70.39743,-33.36838,1
-70.39738,-33.36832,1
-70.39721,-33.36815,1
-70.39717,-33.36811,1
-70.39717,-33.3681,1
-70.3971,-33.36804,1
-70.39694,-33.36789,1
-70.39672,-33.36768,1
-70.39663,-33.36761,1
-70.39656,-33.36755,1
-70.39646,-33.36745,1
-70.39631,-33.36732,1
-70.39617,-33.36719,1
-70.39602,-33.36706,1
-70.39593,-33.36698,1
-70.39577,-33.36685,1
-70.39568,-33.36676,1
-70.39542,-33.36652,1
-70.39525,-33.36636,1
-70.39502,-33.36616,1
-70.39492,-33.36606,1
-70.39485,-33.36602,1
-70.39477,-33.36597,1
-70.39471,-33.36594,1
-70.39462,-33.36591,1
-70.39456,-33.36589,1
-70.3945,-33.36588,1
-70.39443,-33.36587,1
-70.39437,-33.36586,1
-70.39436,-33.36586,1
-70.3943,-33.36586,1
-70.3942,-33.36587,1
-70.39412,-33.36588,1
-70.39397,-33.3659,1
-70.39391,-33.36592,1
-70.39385,-33.36593,1
-70.39377,-33.36594,1
-70.39366,-33.36594,1
-70.39353,-33.36593,1
-70.39344,-33.36591,1
-70.39332,-33.36587,1
-70.39322,-33.36582,1
-70.39313,-33.36578,1
-70.39301,-33.36572,1
